SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022
162,6,0,25296,0,0,0,A,Fortuna city,California,12517,12518,12518,12516
162,6,0,25338,0,0,0,A,Foster City city,California,33809,33685,32575,32026
162,6,0,25380,0,0,0,A,Fountain Valley city,California,57054,56967,56440,55930
162,6,0,25436,0,0,0,A,Fowler city,California,6715,6764,6950,7154
162,6,0,26000,0,0,0,A,Fremont city,California,230493,230194,226532,223871
162,6,0,27000,0,0,0,A,Fresno city,California,542252,542447,543910,545567
162,6,0,28000,0,0,0,A,Fullerton city,California,143638,143419,140559,140541
162,6,0,28112,0,0,0,A,Galt city,California,25387,25405,25400,25411
162,6,0,28168,0,0,0,A,Gardena city,California,61022,60875,59721,58843
162,6,0,29000,0,0,0,A,Garden Grove city,California,171973,171759,170511,169254
162,6,0,29504,0,0,0,A,Gilroy city,California,59532,59383,58115,58005
162,6,0,30000,0,0,0,A,Glendale city,California,196534,195995,192272,189221
162,6,0,30014,0,0,0,A,Glendora city,California,52577,52497,51592,50824
162,6,0,30378,0,0,0,A,Goleta city,California,32696,32738,32841,32432
162,6,0,30392,0,0,0,A,Gonzales city,California,8649,8633,8577,8439
162,6,0,30658,0,0,0,A,Grand Terrace city,California,13145,13166,13218,13109
162,6,0,30798,0,0,0,A,Grass Valley city,California,14013,14009,14144,13930
162,6,0,30994,0,0,0,A,Greenfield city,California,18939,18980,19075,19359
162,6,0,31260,0,0,0,A,Gridley city,California,7421,7370,7360,7227
162,6,0,31393,0,0,0,A,Grover Beach city,California,12707,12696,12719,12619
162,6,0,31414,0,0,0,A,Guadalupe city,California,8055,8124,8537,8657
162,6,0,31568,0,0,0,A,Gustine city,California,6150,6150,6178,6181
162,6,0,31708,0,0,0,A,Half Moon Bay city,California,11802,11765,11381,11176
162,6,0,31960,0,0,0,A,Hanford city,California,58013,58098,58468,58470
162,6,0,32506,0,0,0,A,Hawaiian Gardens city,California,14146,14101,13808,13593
162,6,0,32548,0,0,0,A,Hawthorne city,California,88077,87804,86010,84563
162,6,0,33000,0,0,0,A,Hayward city,California,162948,162602,158445,156754
162,6,0,33056,0,0,0,A,Healdsburg city,California,11349,11347,11318,11709
162,6,0,33182,0,0,0,A,Hemet city,California,89818,89844,90480,90689
162,6,0,33308,0,0,0,A,Hercules city,California,26017,26009,26114,25920
162,6,0,33364,0,0,0,A,Hermosa Beach city,California,19736,19687,19278,18985
162,6,0,33434,0,0,0,A,Hesperia city,California,99838,100090,100847,100744
